"ID","His_Score","Ile_Score","Leu_Score","Lys_Score","SAA_Score","AAA_Score","Thr_Score","Trp_Score","Val_Score","His_Lim","Ile_Lim","Leu_Lim","Lys_Lim","SAA_Lim","AAA_Lim","Thr_Lim","Trp_Lim","Val_Lim","Limiting_AA","Limiting_AA_Score","PDCAAS"
"Chim.0.Kaslaea",1.44,1.35,1.02727272727273,1.07017543859649,1.575,1.38461538461538,1.22903225806452,1.4,1.20232558139535,".",".",".",".",".",".",".",".",".","Leu_Score",4,0.852636363636364
"Chim.102.FS52",1.455,1.378125,1.02727272727273,1.06666666666667,1.51071428571429,1.37307692307692,1.25161290322581,1.65882352941176,1.2093023255814,".",".",".",".",".",".",".",".",".","Leu_Score",4,0.852636363636364
"Chim.0.CO407Dave",1.44,1.346875,1.02121212121212,1.10350877192982,1.57142857142857,1.4,1.24516129032258,1.48235294117647,1.1906976744186,".",".",".",".",".",".",".",".",".","Leu_Score",4,0.847606060606061
"Chim.102.FS31",1.445,1.33125,0.998484848484849,1.04385964912281,1.52142857142857,1.34423076923077,1.21935483870968,1.42352941176471,1.15813953488372,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.828742424242424
"Chim.107.FS67",1.41,1.321875,0.992424242424242,1.00350877192982,1.45,1.37115384615385,1.17741935483871,1.27058823529412,1.17674418604651,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.823712121212121
"Chim.104.FS73",1.435,1.290625,0.992424242424242,1.05438596491228,1.475,1.29423076923077,1.21612903225806,1.48235294117647,1.14651162790698,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.823712121212121
"Chim.108.FS46",1.425,1.334375,0.983333333333333,1.0140350877193,1.46071428571429,1.31730769230769,1.14838709677419,1.36470588235294,1.17906976744186,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.816166666666667
"Chim.108.FS33",1.41,1.296875,0.98030303030303,1.03333333333333,1.48214285714286,1.32307692307692,1.17741935483871,1.36470588235294,1.13720930232558,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.813651515151515
"Chim.102.FS13",1.36,1.3,0.977272727272727,0.998245614035088,1.425,1.30576923076923,1.17741935483871,1.2,1.18372093023256,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.811136363636364
"Chim.105.FS43",1.38,1.31875,0.975757575757576,0.968421052631579,1.36785714285714,1.32692307692308,1.13870967741935,1.25882352941176,1.14186046511628,".",".","LIMITING","LIMITING",".",".",".",".",".","Lys_Score",5,0.80378947368421
"Chim.102.FS4",1.385,1.284375,0.971212121212121,0.957894736842105,1.41428571428571,1.27884615384615,1.14838709677419,1.30588235294118,1.12325581395349,".",".","LIMITING","LIMITING",".",".",".",".",".","Lys_Score",5,0.795052631578947
"Chim.104.FS2",1.28,1.278125,0.968181818181818,0.987719298245614,1.43214285714286,1.29423076923077,1.15483870967742,1.30588235294118,1.14883720930233,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.803590909090909
"Chim.104.FS1",1.4,1.284375,0.965151515151515,1.00877192982456,1.46785714285714,1.31346153846154,1.17741935483871,1.45882352941176,1.11860465116279,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.801075757575758
"Chim.108.FS51",1.38,1.28125,0.965151515151515,1,1.46428571428571,1.30384615384615,1.13548387096774,1.37647058823529,1.13023255813953,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.801075757575758
"Chim.104.FS60",1.365,1.303125,0.960606060606061,1.01228070175439,1.46071428571429,1.29615384615385,1.16451612903226,1.50588235294118,1.13720930232558,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.79730303030303
"Chim.108.FS34",1.345,1.246875,0.954545454545455,0.970175438596491,1.4,1.28461538461538,1.13870967741935,1.27058823529412,1.10697674418605,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.792272727272727
"Chim.108.FS54",1.285,1.25,0.937878787878788,0.940350877192982,1.42857142857143,1.27884615384615,1.09677419354839,1.24705882352941,1.10697674418605,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.778439393939394
"Chim.102.FS8",1.26,1.21875,0.933333333333333,0.973684210526316,1.39285714285714,1.26730769230769,1.14838709677419,1.32941176470588,1.08837209302326,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.774666666666667
"Chim.107.FS78",1.28,1.275,0.933333333333333,0.912280701754386,1.4,1.25961538461538,1.08387096774194,1.12941176470588,1.09767441860465,".",".","LIMITING","LIMITING",".",".",".",".",".","Lys_Score",5,0.75719298245614
"Chim.104.FS27",1.39,1.278125,0.93030303030303,0.975438596491228,1.48928571428571,1.25192307692308,1.13225806451613,1.2,1.1046511627907,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.772151515151515
"Chim.0.Cherry Vanilla",1.305,1.221875,0.928787878787879,0.928070175438596,1.39642857142857,1.23846153846154,1.11290322580645,1.17647058823529,1.08604651162791,".",".","LIMITING","LIMITING",".",".",".",".",".","Lys_Score",5,0.770298245614035
