ID,newLocation,His_Score,Ile_Score,Leu_Score,Lys_Score,SAA_Score,AAA_Score,Thr_Score,Trp_Score,Val_Score,His_Lim,Ile_Lim,Leu_Lim,Lys_Lim,SAA_Lim,AAA_Lim,Thr_Lim,Trp_Lim,Val_Lim,Limiting_AA,Limiting_AA_Score,PDCAAS,newLocation,POP,entry,
Quil.106.FS85,Quilcene,1.395,1.309375,0.983333333,1.022807018,1.467857143,1.326923077,1.138709677,1.352941176,1.165116279,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.816166667,Quilcene,106,FS85,
Quil.108.FS86,Quilcene,1.395,1.31875,0.998484848,1.08245614,1.539285714,1.363461538,1.2,1.188235294,1.179069767,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.828742424,Quilcene,108,FS86,
Quil.104.FS87,Quilcene,1.31,1.31875,0.98030303,1.085964912,1.507142857,1.334615385,1.209677419,1.211764706,1.155813953,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.813651515,Quilcene,104,FS87,
Quil.108.FS90,Quilcene,1.39,1.2875,0.96969697,1.063157895,1.503571429,1.326923077,1.167741935,0.988235294,1.134883721,.,.,LIMITING,.,.,.,.,LIMITING,.,Leu_Score,4,0.804848485,Quilcene,108,FS90,
Quil.105.FS92,Quilcene,1.355,1.26875,0.962121212,1.00877193,1.539285714,1.284615385,1.14516129,1.2,1.120930233,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.798560606,Quilcene,105,FS92,
Quil.102.FS12,Quilcene,1.285,1.24375,0.965151515,1.071929825,1.421428571,1.309615385,1.2,1.141176471,1.111627907,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.801075758,Quilcene,102,FS12,
Quil.102.FS17,Quilcene,1.455,1.3375,1.037878788,1.156140351,1.528571429,1.4,1.296774194,1.105882353,1.195348837,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.861439394,Quilcene,102,FS17,
Quil.108.FS18,Quilcene,1.395,1.309375,1.015151515,1.110526316,1.560714286,1.359615385,1.261290323,1.094117647,1.16744186,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.842575758,Quilcene,108,FS18,
Quil.104.FS20,Quilcene,1.325,1.228125,0.945454545,1.035087719,1.528571429,1.3,1.158064516,1.211764706,1.113953488,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.784727273,Quilcene,104,FS20,
Quil.104.FS21,Quilcene,1.25,1.196875,0.921212121,1.022807018,1.367857143,1.217307692,1.129032258,1.082352941,1.065116279,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.764606061,Quilcene,104,FS21,
Quil.102.FS23,Quilcene,1.345,1.303125,1.010606061,1.105263158,1.489285714,1.353846154,1.225806452,1.741176471,1.18372093,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.83880303,Quilcene,102,FS23,
Quil.107.FS3,Quilcene,1.345,1.225,0.939393939,0.987719298,1.371428571,1.271153846,1.132258065,0.964705882,1.081395349,.,.,LIMITING,LIMITING,.,.,.,LIMITING,.,Leu_Score,4,0.77969697,Quilcene,107,FS3,
Quil.102.FS25,Quilcene,1.34,1.271875,0.983333333,1.092982456,1.482142857,1.330769231,1.25483871,1.117647059,1.125581395,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.816166667,Quilcene,102,FS25,
Quil.104.FS28,Quilcene,1.355,1.25625,0.978787879,1.087719298,1.528571429,1.309615385,1.212903226,1.129411765,1.137209302,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.812393939,Quilcene,104,FS28,
Quil.104.FS30,Quilcene,1.275,1.209375,0.945454545,1.033333333,1.475,1.25,1.161290323,1.141176471,1.104651163,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.784727273,Quilcene,104,FS30,
Quil.102.FS36,Quilcene,1.23,1.20625,0.918181818,1.015789474,1.378571429,1.215384615,1.161290323,1.141176471,1.062790698,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.762090909,Quilcene,102,FS36,
Quil.106.FS37,Quilcene,1.425,1.309375,1.013636364,1.064912281,1.403571429,1.338461538,1.238709677,0.835294118,1.162790698,.,.,.,.,.,.,.,LIMITING,.,Trp_Score,9,0.693294118,Quilcene,106,FS37,
Quil.104.FS38,Quilcene,1.3,1.19375,0.924242424,0.984210526,1.396428571,1.236538462,1.129032258,0.858823529,1.060465116,.,.,LIMITING,LIMITING,.,.,.,LIMITING,.,Trp_Score,9,0.712823529,Quilcene,104,FS38,
